#gene_id	#GO_term	#Description
default-0_rep_c23667|m.18265	GO:0003735	structural constituent of ribosome
default-0_rep_c58169|m.39957	GO:0005524	ATP binding
default-0_rep_c58169|m.39957	GO:0004672	protein kinase activity
default-0_rep_c43512|m.29998	GO:0050660	flavin adenine dinucleotide binding
default-0_rep_c43512|m.29998	GO:0016491	oxidoreductase activity
default-0_rep_c67768|m.45636	GO:0005515	protein binding
default-0_rep_c113778|m.70085	GO:0016491	oxidoreductase activity
default-0_rep_c15763|m.12699	GO:0005506	iron ion binding
default-0_rep_c15763|m.12699	GO:0016705	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen
default-0_rep_c15763|m.12699	GO:0020037	heme binding
default-0_rep_c64646|m.43915	GO:0003735	structural constituent of ribosome
default-0_rep_c64646|m.43915	GO:0019843	rRNA binding
default-0_c76545|m.51545	GO:0005524	ATP binding
default-0_c76545|m.51545	GO:0004672	protein kinase activity
default-0_rep_c80733|m.54207	GO:0046872	metal ion binding
default-0_rep_c80733|m.54207	GO:0016702	oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen
default-0_rep_c7873|m.6744	GO:0003700	transcription factor activity, sequence-specific DNA binding
default-0_rep_c7873|m.6744	GO:0043565	sequence-specific DNA binding
default-0_rep_c29730|m.22097	GO:0015035	protein disulfide oxidoreductase activity
default-0_rep_c29730|m.22097	GO:0009055	electron carrier activity
default-0_rep_c112352|m.69315	GO:0004190	aspartic-type endopeptidase activity
default-0_dn_rep_c50104|m.34676	GO:0046982	protein heterodimerization activity
default-0_dn_rep_c50104|m.34676	GO:0003677	DNA binding
default-0_rep_c62870|m.42876	GO:0003700	transcription factor activity, sequence-specific DNA binding
default-0_rep_c62870|m.42876	GO:0003677	DNA binding
default-0_rep_c62870|m.42876	GO:0043565	sequence-specific DNA binding
default-0_rep_c4882|m.4308	GO:0003735	structural constituent of ribosome
default-0_rep_c4882|m.4308	GO:0008097	5S rRNA binding
default-0_rep_c70681|m.46965	GO:0046872	metal ion binding
default-0_rep_c70681|m.46965	GO:0016702	oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen
default-0_c81501|m.54649	GO:0005215	transporter activity
default-0_rep_c108250|m.67117	GO:0008312	7S RNA binding
default-0_rep_c32671|m.23707	GO:0009055	electron carrier activity
default-0_c41577|m.28612	GO:0016491	oxidoreductase activity
default-0_c43671|m.30132	GO:0005488	binding
default-0_rep_c27891|m.20993	GO:0016747	transferase activity, transferring acyl groups other than amino-acyl groups
default-0_rep_c57359|m.39404	GO:0003723	RNA binding
default-0_c106961|m.66244	GO:0016758	transferase activity, transferring hexosyl groups
default-0_rep_c63991|m.43507	GO:0003735	structural constituent of ribosome
default-0_c75186|m.50657	GO:0004109	coproporphyrinogen oxidase activity
default-0_rep_c44246|m.30598	GO:0003735	structural constituent of ribosome
default-0_rep_c100695|m.63419	GO:0005215	transporter activity
default-0_rep_c64552|m.43864	GO:0003735	structural constituent of ribosome
default-0_c6885|m.5964	GO:0003824	catalytic activity
default-0_c6885|m.5964	GO:0016491	oxidoreductase activity
default-0_c6885|m.5964	GO:0010181	FMN binding
default-0_rep_c39221|m.27276	GO:0005200	structural constituent of cytoskeleton
default-0_rep_c39221|m.27276	GO:0005525	GTP binding
default-0_rep_c106485|m.65915	GO:0003735	structural constituent of ribosome
default-0_rep_c72163|m.48317	GO:0003743	translation initiation factor activity
default-0_rep_c16383|m.13152	GO:0003824	catalytic activity
default-0_c109465|m.67883	GO:0005515	protein binding
default-0_rep_c1326|m.1164	GO:0004252	serine-type endopeptidase activity
