#gene_id	#pathway_name	#pathway_id	#ec_number
default-0_c37510|m.26302	Starch and sucrose metabolism	00500	3.2.1.39
default-0_rep_c27924|m.21012	Phenylpropanoid biosynthesis	00940	1.11.1.7
default-0_c84942|m.56511	Inositol phosphate metabolism	00562	3.1.4.11
default-0_c5911|m.5158	Pentose and glucuronate interconversions	00040	5.1.3.1
default-0_c5911|m.5158	Pentose phosphate pathway	00030	5.1.3.1
default-0_c5911|m.5158	Carbon fixation in photosynthetic organisms	00710	5.1.3.1
default-0_c108473|m.67260	Arginine and proline metabolism	00330	2.6.1.13
default-0_c10581|m.8844	Arginine and proline metabolism	00330	1.5.5.2
default-0_rep_c31199|m.22927	Glycine, serine and threonine metabolism	00260	2.1.2.10
default-0_rep_c31199|m.22927	One carbon pool by folate	00670	2.1.2.10
default-0_c60599|m.41509	Riboflavin metabolism	00740	2.5.1.78
default-0_c55481|m.38141	Sulfur metabolism	00920	2.8.1.1
default-0_rep_c107453|m.66578	Glyoxylate and dicarboxylate metabolism	00630	1.11.1.6
default-0_rep_c107453|m.66578	Tryptophan metabolism	00380	1.11.1.6
default-0_c78455|m.52788	Purine metabolism	00230	2.7.4.3
default-0_rep_c47956|m.33221	Phenylpropanoid biosynthesis	00940	1.11.1.7
default-0_rep_c18130|m.14385	Amino sugar and nucleotide sugar metabolism	00520	3.2.1.14
default-0_c81324|m.54555	Cysteine and methionine metabolism	00270	5.3.1.23
default-0_rep_c1961|m.1693	Valine, leucine and isoleucine biosynthesis	00290	4.2.1.33
default-0_rep_c4330|m.3813	Purine metabolism	00230	3.1.3.5
default-0_rep_c4330|m.3813	Nicotinate and nicotinamide metabolism	00760	3.1.3.5
default-0_rep_c4330|m.3813	Pyrimidine metabolism	00240	3.1.3.5
default-0_rep_c84751|m.56413	Starch and sucrose metabolism	00500	3.1.1.11
default-0_rep_c84751|m.56413	Pentose and glucuronate interconversions	00040	3.1.1.11
default-0_rep_c63510|m.43261	Various types of N-glycan biosynthesis	00513	2.4.99.18
default-0_rep_c63510|m.43261	N-Glycan biosynthesis	00510	2.4.99.18
default-0_rep_c14120|m.11491	Phenylpropanoid biosynthesis	00940	1.11.1.7
default-0_c77794|m.52338	Pantothenate and CoA biosynthesis	00770	2.1.2.11
default-0_rep_c48297|m.33460	Pentose and glucuronate interconversions	00040	5.1.3.1
default-0_rep_c48297|m.33460	Pentose phosphate pathway	00030	5.1.3.1
default-0_rep_c48297|m.33460	Carbon fixation in photosynthetic organisms	00710	5.1.3.1
default-0_rep_c29075|m.21687	Cysteine and methionine metabolism	00270	2.1.1.14
default-0_rep_c29075|m.21687	Selenocompound metabolism	00450	2.1.1.14
default-0_rep_c6788|m.5883	Oxidative phosphorylation	00190	3.6.1.1
default-0_c55882|m.38446	Phenylalanine, tyrosine and tryptophan biosynthesis	00400	4.2.1.51
default-0_rep_c114584|m.70580	Carbon fixation in photosynthetic organisms	00710	2.7.2.3
default-0_rep_c114584|m.70580	Glycolysis / Gluconeogenesis	00010	2.7.2.3
default-0_rep_c66241|m.44840	Various types of N-glycan biosynthesis	00513	2.4.99.18
default-0_rep_c66241|m.44840	N-Glycan biosynthesis	00510	2.4.99.18
default-0_rep_c31724|m.23189	Purine metabolism	00230	2.7.1.20
default-0_rep_c54806|m.37627	Various types of N-glycan biosynthesis	00513	2.4.99.18
default-0_rep_c54806|m.37627	N-Glycan biosynthesis	00510	2.4.99.18
default-0_rep_c73910|m.49708	Amino sugar and nucleotide sugar metabolism	00520	3.2.1.14
default-0_c38222|m.26681	Glyoxylate and dicarboxylate metabolism	00630	3.5.1.9
default-0_c38222|m.26681	Tryptophan metabolism	00380	3.5.1.9
default-0_rep_c100173|m.63195	Pentose phosphate pathway	00030	2.2.1.2
default-0_rep_c19460|m.15377	Pentose and glucuronate interconversions	00040	4.2.2.2
default-0_rep_c9048|m.7651	Phenylalanine, tyrosine and tryptophan biosynthesis	00400	2.7.1.71
default-0_rep_c9048|m.7651	Pantothenate and CoA biosynthesis	00770	2.7.1.24
default-0_c14581|m.11823	Lysine biosynthesis	00300	2.6.1.83
default-0_rep_c14054|m.11442	Carbon fixation in photosynthetic organisms	00710	2.7.2.3
default-0_rep_c14054|m.11442	Glycolysis / Gluconeogenesis	00010	2.7.2.3
default-0_rep_c60479|m.41434	Cysteine and methionine metabolism	00270	2.5.1.6
default-0_rep_c39658|m.27529	Glyoxylate and dicarboxylate metabolism	00630	4.1.1.39
default-0_rep_c39658|m.27529	Carbon fixation in photosynthetic organisms	00710	4.1.1.39
default-0_rep_c5909|m.5156	Glycolysis / Gluconeogenesis	00010	1.2.1.12
default-0_rep_c5909|m.5156	Carbon fixation in photosynthetic organisms	00710	1.2.1.12
default-0_rep_c102266|m.64108	Carbon fixation in photosynthetic organisms	00710	5.3.1.1
default-0_rep_c102266|m.64108	Inositol phosphate metabolism	00562	5.3.1.1
default-0_rep_c102266|m.64108	Fructose and mannose metabolism	00051	5.3.1.1
default-0_rep_c102266|m.64108	Glycolysis / Gluconeogenesis	00010	5.3.1.1
default-0_rep_c38311|m.26734	Fatty acid elongation	00062	2.3.1.199
default-0_rep_c17626|m.14016	Ubiquinone and other terpenoid-quinone biosynthesis	00130	1.6.5.2
default-0_rep_c19518|m.15425	Aminoacyl-tRNA biosynthesis	00970	6.1.1.2
default-0_rep_c19518|m.15424	Aminoacyl-tRNA biosynthesis	00970	6.1.1.2
default-0_c15328|m.12356	Fatty acid elongation	00062	2.3.1.199
default-0_c15328|m.12356	Fatty acid biosynthesis	00061	2.3.1.180
default-0_rep_c20885|m.16407	Glyoxylate and dicarboxylate metabolism	00630	4.1.1.39
default-0_rep_c20885|m.16407	Carbon fixation in photosynthetic organisms	00710	4.1.1.39
default-0_rep_c4638|m.4104	Ascorbate and aldarate metabolism	00053	1.1.1.22
default-0_rep_c4638|m.4104	Starch and sucrose metabolism	00500	1.1.1.22
default-0_rep_c4638|m.4104	Pentose and glucuronate interconversions	00040	1.1.1.22
default-0_rep_c4638|m.4104	Amino sugar and nucleotide sugar metabolism	00520	1.1.1.22
default-0_rep_c33548|m.24159	Pyrimidine metabolism	00240	2.7.7.7
default-0_rep_c33548|m.24159	Purine metabolism	00230	2.7.7.7
