#gene_id	#GO_term	#Description
default-0_rep_c23667|m.18265	GO:0006412	translation
default-0_rep_c58169|m.39957	GO:0006468	protein phosphorylation
default-0_rep_c43512|m.29998	GO:0045454	cell redox homeostasis
default-0_rep_c43512|m.29998	GO:0055114	oxidation-reduction process
default-0_c60599|m.41509	GO:0009231	riboflavin biosynthetic process
default-0_rep_c113778|m.70085	GO:0055114	oxidation-reduction process
default-0_rep_c15763|m.12699	GO:0055114	oxidation-reduction process
default-0_rep_c64646|m.43915	GO:0006412	translation
default-0_c76545|m.51545	GO:0006468	protein phosphorylation
default-0_rep_c80733|m.54207	GO:0055114	oxidation-reduction process
default-0_rep_c7873|m.6744	GO:0006355	regulation of transcription, DNA-templated
default-0_rep_c29730|m.22097	GO:0045454	cell redox homeostasis
default-0_rep_c111386|m.68895	GO:0015979	photosynthesis
default-0_rep_c44678|m.30930	GO:0006810	transport
default-0_rep_c112352|m.69315	GO:0006508	proteolysis
default-0_rep_c112352|m.69315	GO:0006629	lipid metabolic process
default-0_rep_c59525|m.40787	GO:0015979	photosynthesis
default-0_rep_c62870|m.42876	GO:0006355	regulation of transcription, DNA-templated
default-0_rep_c4882|m.4308	GO:0006412	translation
default-0_rep_c70681|m.46965	GO:0055114	oxidation-reduction process
default-0_c81501|m.54649	GO:0006810	transport
default-0_rep_c108250|m.67117	GO:0006614	SRP-dependent cotranslational protein targeting to membrane
default-0_c77673|m.52272	GO:0007165	signal transduction
default-0_c72667|m.48745	GO:0055085	transmembrane transport
default-0_c41577|m.28612	GO:0055114	oxidation-reduction process
default-0_c83526|m.55743	GO:0006535	cysteine biosynthetic process from serine
default-0_c106961|m.66244	GO:0008152	metabolic process
default-0_rep_c63991|m.43507	GO:0006414	translational elongation
default-0_c75186|m.50657	GO:0055114	oxidation-reduction process
default-0_c75186|m.50657	GO:0006779	porphyrin-containing compound biosynthetic process
default-0_rep_c44246|m.30598	GO:0006412	translation
default-0_rep_c100695|m.63419	GO:0006810	transport
default-0_rep_c100695|m.63419	GO:0055085	transmembrane transport
default-0_rep_c64552|m.43864	GO:0006412	translation
default-0_rep_c2891|m.2513	GO:0007275	multicellular organismal development
