#gene_id	#GO_term	#Description
default-0_rep_c23667|m.18265	GO:0005840	ribosome
default-0_c60599|m.41509	GO:0009349	riboflavin synthase complex
default-0_rep_c64646|m.43915	GO:0005622	intracellular
default-0_rep_c64646|m.43915	GO:0015935	small ribosomal subunit
default-0_rep_c111386|m.68895	GO:0009579	thylakoid
default-0_rep_c111386|m.68895	GO:0016021	integral component of membrane
default-0_rep_c111386|m.68895	GO:0009522	photosystem I
default-0_rep_c59525|m.40787	GO:0009522	photosystem I
default-0_rep_c59525|m.40787	GO:0009538	photosystem I reaction center
default-0_dn_rep_c50104|m.34676	GO:0000786	nucleosome
default-0_rep_c62870|m.42876	GO:0005634	nucleus
default-0_rep_c4882|m.4308	GO:0005840	ribosome
default-0_rep_c73497|m.49405	GO:0005634	nucleus
default-0_c81501|m.54649	GO:0016020	membrane
default-0_rep_c108250|m.67117	GO:0048500	signal recognition particle
default-0_c108896|m.67543	GO:0005737	cytoplasm
default-0_c108896|m.67543	GO:0005634	nucleus
default-0_rep_c42853|m.29451	GO:0005615	extracellular space
default-0_rep_c63991|m.43507	GO:0005840	ribosome
default-0_rep_c63991|m.43507	GO:0005622	intracellular
default-0_rep_c44246|m.30598	GO:0005840	ribosome
default-0_rep_c100695|m.63419	GO:0005743	mitochondrial inner membrane
default-0_rep_c64552|m.43864	GO:0005840	ribosome
default-0_rep_c64552|m.43864	GO:0005622	intracellular
default-0_rep_c39221|m.27276	GO:0005874	microtubule
default-0_rep_c106485|m.65915	GO:0005840	ribosome
default-0_rep_c106485|m.65915	GO:0005622	intracellular
default-0_rep_c72163|m.48317	GO:0005737	cytoplasm
default-0_rep_c72163|m.48317	GO:0005852	eukaryotic translation initiation factor 3 complex
default-0_c17845|m.14179	GO:0005634	nucleus
default-0_rep_c25873|m.19778	GO:0000786	nucleosome
default-0_rep_c63365|m.43171	GO:0005840	ribosome
default-0_rep_c111082|m.68761	GO:0005737	cytoplasm
default-0_rep_c42957|m.29540	GO:0033179	proton-transporting V-type ATPase, V0 domain
default-0_rep_c42957|m.29540	GO:0033177	proton-transporting two-sector ATPase complex, proton-transporting domain
default-0_c71165|m.47406	GO:0005741	mitochondrial outer membrane
default-0_c73423|m.49336	GO:0005634	nucleus
default-0_rep_c13596|m.11093	GO:0005840	ribosome
default-0_rep_c13596|m.11093	GO:0005622	intracellular
default-0_rep_c71952|m.48135	GO:0005840	ribosome
default-0_rep_c59735|m.40918	GO:0005840	ribosome
default-0_rep_c59735|m.40918	GO:0005622	intracellular
default-0_rep_c93878|m.60622	GO:0005874	microtubule
default-0_rep_c66698|m.45101	GO:0005634	nucleus
default-0_rep_c66698|m.45101	GO:0000786	nucleosome
default-0_rep_c40262|m.27865	GO:0005840	ribosome
default-0_rep_c18284|m.14495	GO:0016020	membrane
default-0_rep_c100906|m.63511	GO:0016020	membrane
default-0_rep_c113139|m.69739	GO:0033179	proton-transporting V-type ATPase, V0 domain
default-0_rep_c113139|m.69739	GO:0033177	proton-transporting two-sector ATPase complex, proton-transporting domain
default-0_rep_c35888|m.25360	GO:0005742	mitochondrial outer membrane translocase complex
default-0_rep_c42421|m.29152	GO:0016020	membrane
default-0_rep_c42421|m.29152	GO:0005622	intracellular
default-0_rep_c12458|m.10257	GO:0016020	membrane
default-0_c80670|m.54174	GO:0048500	signal recognition particle
default-0_c38676|m.26959	GO:0048500	signal recognition particle
default-0_c106190|m.65794	GO:0005634	nucleus
default-0_rep_c12458|m.10258	GO:0016020	membrane
default-0_rep_c59439|m.40725	GO:0005840	ribosome
default-0_rep_c59439|m.40725	GO:0005622	intracellular
default-0_rep_c12401|m.10225	GO:0005838	proteasome regulatory particle
default-0_rep_c67900|m.45679	GO:0005634	nucleus
default-0_rep_c67900|m.45679	GO:0000786	nucleosome
default-0_rep_c3138|m.2760	GO:0016020	membrane
default-0_rep_c82059|m.54957	GO:0000786	nucleosome
default-0_rep_c64106|m.43587	GO:0005840	ribosome
default-0_rep_c55136|m.37876	GO:0005840	ribosome
default-0_c47494|m.32913	GO:0016020	membrane
default-0_rep_c30206|m.22395	GO:0016020	membrane
default-0_c41677|m.28675	GO:0000796	condensin complex
default-0_rep_c25307|m.19393	GO:0005840	ribosome
default-0_rep_c25307|m.19393	GO:0005622	intracellular
default-0_rep_c59627|m.40850	GO:0005840	ribosome
default-0_rep_c59627|m.40850	GO:0005622	intracellular
default-0_rep_c4751|m.4200	GO:0005840	ribosome
default-0_rep_c4751|m.4200	GO:0005622	intracellular
default-0_rep_c30726|m.22711	GO:0016021	integral component of membrane
default-0_rep_c8089|m.6917	GO:0005618	cell wall
default-0_rep_c8089|m.6917	GO:0048046	apoplast
default-0_rep_c78384|m.52738	GO:0005634	nucleus
default-0_rep_c78384|m.52738	GO:0000786	nucleosome
default-0_rep_c66525|m.44998	GO:0033178	proton-transporting two-sector ATPase complex, catalytic domain
default-0_rep_c94797|m.61031	GO:0005634	nucleus
default-0_rep_c94797|m.61031	GO:0005685	U1 snRNP
default-0_rep_c45217|m.31345	GO:0005787	signal peptidase complex
default-0_rep_c45217|m.31345	GO:0016021	integral component of membrane
default-0_c91033|m.59353	GO:0005783	endoplasmic reticulum
default-0_rep_c57928|m.39795	GO:0000786	nucleosome
default-0_c33887|m.24344	GO:0019898	extrinsic component of membrane
default-0_c33887|m.24344	GO:0009654	photosystem II oxygen evolving complex
default-0_c33887|m.24344	GO:0009523	photosystem II
default-0_rep_c6410|m.5566	GO:0005787	signal peptidase complex
default-0_rep_c6410|m.5566	GO:0016021	integral component of membrane
default-0_rep_c110683|m.68556	GO:0005634	nucleus
default-0_rep_c15974|m.12851	GO:0005576	extracellular region
default-0_c85120|m.56608	GO:0005840	ribosome
default-0_c85120|m.56608	GO:0005622	intracellular
default-0_rep_c54887|m.37690	GO:0016020	membrane
default-0_c49729|m.34447	GO:0005871	kinesin complex
default-0_rep_c19710|m.15566	GO:0005840	ribosome
default-0_rep_c42799|m.29396	GO:0005839	proteasome core complex
default-0_rep_c61030|m.41751	GO:0000786	nucleosome
default-0_rep_c91985|m.59791	GO:0005839	proteasome core complex
default-0_rep_c19671|m.15537	GO:0016021	integral component of membrane
default-0_rep_c19671|m.15536	GO:0016021	integral component of membrane
default-0_rep_c61576|m.42097	GO:0005840	ribosome
default-0_rep_c61576|m.42097	GO:0005622	intracellular
default-0_rep_c78060|m.52509	GO:0005634	nucleus
default-0_rep_c78060|m.52509	GO:0005685	U1 snRNP
default-0_rep_c49248|m.34124	GO:0009507	chloroplast
default-0_rep_c73970|m.49756	GO:0005665	DNA-directed RNA polymerase II, core complex
default-0_rep_c87796|m.58019	GO:0016020	membrane
default-0_rep_c40002|m.27734	GO:0030532	small nuclear ribonucleoprotein complex
default-0_rep_c56298|m.38732	GO:0016021	integral component of membrane
default-0_rep_c34487|m.24647	GO:0016020	membrane
default-0_rep_c49761|m.34468	GO:0005840	ribosome
default-0_rep_c49761|m.34468	GO:0005622	intracellular
default-0_c94261|m.60810	GO:0016020	membrane
default-0_c94261|m.60810	GO:0000148	1,3-beta-D-glucan synthase complex
default-0_c37473|m.26274	GO:0016021	integral component of membrane
default-0_c7500|m.6455	GO:0016021	integral component of membrane
default-0_c49717|m.34441	GO:0016021	integral component of membrane
default-0_c49717|m.34441	GO:0016020	membrane
default-0_rep_c18912|m.14976	GO:0000786	nucleosome
default-0_dn_rep_c1383|m.1207	GO:0016020	membrane
default-0_rep_c13018|m.10661	GO:0005840	ribosome
default-0_rep_c13018|m.10661	GO:0005622	intracellular
default-0_rep_c44452|m.30764	GO:0016020	membrane
default-0_rep_c44452|m.30764	GO:0009522	photosystem I
default-0_rep_c61974|m.42346	GO:0005874	microtubule
default-0_rep_c42826|m.29425	GO:0005732	small nucleolar ribonucleoprotein complex
default-0_dn_rep_c32|m.34	GO:0005840	ribosome
default-0_dn_rep_c32|m.34	GO:0005622	intracellular
default-0_dn_rep_c354|m.392	GO:0005874	microtubule
default-0_dn_rep_c2589|m.2265	GO:0016021	integral component of membrane
default-0_rep_c57576|m.39552	GO:0005840	ribosome
default-0_rep_c25866|m.19774	GO:0005622	intracellular
default-0_rep_c92043|m.59822	GO:0005840	ribosome
default-0_rep_c92043|m.59822	GO:0005622	intracellular
default-0_rep_c114648|m.70612	GO:0005634	nucleus
default-0_rep_c114648|m.70612	GO:0000786	nucleosome
default-0_rep_c69657|m.46470	GO:0005840	ribosome
default-0_rep_c69657|m.46470	GO:0005622	intracellular
default-0_rep_c50676|m.35030	GO:0000786	nucleosome
default-0_c106786|m.66119	GO:0005634	nucleus
default-0_rep_c42688|m.29317	GO:0016020	membrane
default-0_rep_c42688|m.29317	GO:0009521	photosystem
default-0_c81524|m.54666	GO:0016021	integral component of membrane
default-0_rep_c37204|m.26122	GO:0015934	large ribosomal subunit
default-0_rep_c37204|m.26122	GO:0005840	ribosome
default-0_c22510|m.17501	GO:0016021	integral component of membrane
default-0_rep_c56736|m.39004	GO:0005840	ribosome
default-0_rep_c17942|m.14250	GO:0000786	nucleosome
default-0_rep_c56894|m.39115	GO:0016272	prefoldin complex
default-0_rep_c66036|m.44717	GO:0016021	integral component of membrane
default-0_dn_rep_c424|m.457	GO:0005615	extracellular space
default-0_dn_rep_c47898|m.33187	GO:0005840	ribosome
default-0_dn_rep_c47898|m.33187	GO:0005622	intracellular
default-0_c43618|m.30087	GO:0005840	ribosome
default-0_c43618|m.30087	GO:0005622	intracellular
default-0_dn_rep_c356|m.394	GO:0016020	membrane
default-0_rep_c58923|m.40417	GO:0016020	membrane
default-0_rep_c52483|m.36095	GO:0005739	mitochondrion
default-0_rep_c5297|m.4659	GO:0005737	cytoplasm
default-0_rep_c63420|m.43204	GO:0005840	ribosome
default-0_rep_c38693|m.26967	GO:0016020	membrane
default-0_rep_c19529|m.15431	GO:0005634	nucleus
default-0_rep_c19529|m.15431	GO:0000786	nucleosome
default-0_c48928|m.33887	GO:0016020	membrane
default-0_c34745|m.24793	GO:0016021	integral component of membrane
default-0_c34745|m.24791	GO:0016021	integral component of membrane
default-0_rep_c35246|m.25050	GO:0005840	ribosome
default-0_rep_c43372|m.29881	GO:0005737	cytoplasm
default-0_rep_c95273|m.61274	GO:0015934	large ribosomal subunit
default-0_rep_c29321|m.21857	GO:0016021	integral component of membrane
default-0_rep_c69855|m.46567	GO:0005634	nucleus
default-0_rep_c69855|m.46567	GO:0000786	nucleosome
default-0_rep_c3387|m.2964	GO:0016021	integral component of membrane
default-0_rep_c59832|m.40973	GO:0005840	ribosome
default-0_rep_c59832|m.40973	GO:0005622	intracellular
default-0_rep_c44178|m.30546	GO:0005840	ribosome
default-0_rep_c72119|m.48276	GO:0005622	intracellular
default-0_c115646|m.71135	GO:0000145	exocyst
default-0_c71820|m.48024	GO:0071013	catalytic step 2 spliceosome
default-0_rep_c62542|m.42661	GO:0005634	nucleus
default-0_rep_c62542|m.42661	GO:0000786	nucleosome
default-0_rep_c88352|m.58252	GO:0005840	ribosome
default-0_rep_c88352|m.58252	GO:0005622	intracellular
default-0_rep_c67745|m.45629	GO:0005634	nucleus
default-0_rep_c67745|m.45629	GO:0000786	nucleosome
default-0_rep_c49525|m.34305	GO:0016021	integral component of membrane
default-0_rep_c4338|m.3820	GO:0005840	ribosome
default-0_rep_c4338|m.3820	GO:0005622	intracellular
default-0_rep_c54634|m.37501	GO:0005840	ribosome
default-0_rep_c54634|m.37501	GO:0005622	intracellular
default-0_rep_c53251|m.36585	GO:0005840	ribosome
default-0_rep_c53251|m.36585	GO:0005622	intracellular
default-0_c24980|m.19174	GO:0032040	small-subunit processome
default-0_dn_rep_c64957|m.44098	GO:0005840	ribosome
default-0_rep_c32360|m.23536	GO:0016021	integral component of membrane
default-0_rep_c20837|m.16374	GO:0005840	ribosome
default-0_rep_c20837|m.16374	GO:0005622	intracellular
default-0_rep_c82034|m.54943	GO:0005840	ribosome
default-0_rep_c82034|m.54943	GO:0005622	intracellular
default-0_rep_c56973|m.39170	GO:0005622	intracellular
default-0_rep_c56973|m.39170	GO:0005840	ribosome
default-0_c7779|m.6677	GO:0005622	intracellular
default-0_rep_c54950|m.37735	GO:0005840	ribosome
default-0_rep_c96561|m.61864	GO:0005840	ribosome
default-0_rep_c2975|m.2605	GO:0016020	membrane
default-0_rep_c2975|m.2605	GO:0005622	intracellular
default-0_rep_c45170|m.31307	GO:0016020	membrane
default-0_rep_c45170|m.31307	GO:0009522	photosystem I
default-0_rep_c19427|m.15353	GO:0005634	nucleus
default-0_c5761|m.5016	GO:0005839	proteasome core complex
default-0_rep_c116951|m.71803	GO:0005840	ribosome
default-0_rep_c116951|m.71803	GO:0005622	intracellular
default-0_rep_c3178|m.2796	GO:0016020	membrane
default-0_rep_c65969|m.44681	GO:0005874	microtubule
default-0_c87295|m.57759	GO:0019867	outer membrane
default-0_rep_c5193|m.4577	GO:0005750	mitochondrial respiratory chain complex III
default-0_rep_c67843|m.45661	GO:0005840	ribosome
default-0_rep_c67843|m.45661	GO:0005622	intracellular
default-0_rep_c12240|m.10100	GO:0033179	proton-transporting V-type ATPase, V0 domain
default-0_rep_c12240|m.10100	GO:0033177	proton-transporting two-sector ATPase complex, proton-transporting domain
default-0_rep_c98570|m.62565	GO:0005840	ribosome
default-0_rep_c98570|m.62565	GO:0005622	intracellular
default-0_dn_rep_c108041|m.66978	GO:0016020	membrane
default-0_rep_c43688|m.30148	GO:0009507	chloroplast
default-0_rep_c43349|m.29864	GO:0015934	large ribosomal subunit
default-0_rep_c43349|m.29864	GO:0005840	ribosome
default-0_rep_c43349|m.29864	GO:0005622	intracellular
default-0_rep_c108564|m.67317	GO:0005737	cytoplasm
default-0_c75431|m.50827	GO:0016020	membrane
default-0_rep_c67817|m.45651	GO:0005840	ribosome
default-0_rep_c67817|m.45651	GO:0005622	intracellular
default-0_rep_c63364|m.43169	GO:0005840	ribosome
default-0_rep_c63364|m.43169	GO:0005622	intracellular
default-0_rep_c56890|m.39112	GO:0005840	ribosome
default-0_c24956|m.19158	GO:0005634	nucleus
default-0_c24956|m.19158	GO:0043189	H4/H2A histone acetyltransferase complex
default-0_c8082|m.6910	GO:0016021	integral component of membrane
default-0_rep_c2856|m.2477	GO:0000145	exocyst
default-0_rep_c97085|m.62046	GO:0005840	ribosome
default-0_rep_c97085|m.62046	GO:0005622	intracellular
default-0_rep_c106861|m.66167	GO:0005839	proteasome core complex
default-0_c105022|m.65280	GO:0016021	integral component of membrane
default-0_rep_c68241|m.45852	GO:0005840	ribosome
default-0_rep_c64475|m.43815	GO:0005737	cytoplasm
default-0_c71375|m.47598	GO:0016021	integral component of membrane
default-0_rep_c42412|m.29148	GO:0005622	intracellular
default-0_rep_c64977|m.44109	GO:0005840	ribosome
default-0_rep_c64977|m.44109	GO:0005622	intracellular
default-0_rep_c63935|m.43474	GO:0016021	integral component of membrane
default-0_rep_c54520|m.37429	GO:0016020	membrane
default-0_rep_c31911|m.23282	GO:0005737	cytoplasm
default-0_c5850|m.5108	GO:0005634	nucleus
default-0_rep_c61662|m.42156	GO:0005839	proteasome core complex
default-0_rep_c66624|m.45061	GO:0005840	ribosome
default-0_rep_c66624|m.45061	GO:0005622	intracellular
default-0_rep_c44090|m.30472	GO:0016021	integral component of membrane
default-0_rep_c15731|m.12681	GO:0009507	chloroplast
default-0_rep_c23931|m.18443	GO:0005840	ribosome
